Frame	RMSD ($\AA$)
1869	0.911
1870	0.996
1871	1.039
1872	1.004
1873	0.942
1874	0.96
1875	1.001
1876	1.054
1877	0.924
1878	1.016
1879	1.02
1880	1.012
1881	0.984
1882	0.992
1883	1.104
1884	0.992
1885	1.068
1886	1.076
1887	1.047
1888	1.104
1889	1.012
1890	1.018
1891	0.948
1892	0.999
1893	1.089
1894	1.034
1895	1.107
1896	1.124
1897	1.035
1898	1.065
1899	1.143
1900	1.135
1901	1.138
1902	1.186
1903	1.054
1904	1.099
1905	1.002
1906	1.115
1907	1.092
1908	1.09
1909	1.051
1910	1.05
1911	0.996
1912	1.01
1913	0.911
1914	1.006
1915	1.078
1916	0.957
1917	1.063
1918	0.944
1919	0.956
1920	0.934
1921	0.99
1922	0.972
1923	0.94
1924	1.075
1925	1.028
1926	0.944
1927	0.934
1928	1.066
1929	1.051
1930	0.858
1931	1.054
1932	1.036
1933	1.084
1934	1.121
1935	1.105
1936	1.03
1937	1.114
1938	1.078
1939	1.057
1940	0.988
1941	1.04
1942	0.968
1943	1.01
1944	1.029
1945	1.022
Average	0.786
Standard deviation	0.158
Median	0.764
